,c,b1,m1,a,b2,m2
Plot1,0.8389728019653007,0.0026589906937696597,618.6809103140322,0.22666925417032252,-0.008181995490337214,2560.410285043303
Plot2,0.8307641501390965,0.0027763662930139423,599.752859193248,0.21681160508005426,-0.007889519082464144,2545.864843410752
Plot3,0.8379718096767449,0.002789298247990826,574.5385651274008,0.2011809165500475,-0.007361020035485808,2538.8980369262317
Plot4,0.836585155379556,0.0026176268367064963,652.933098128851,0.24099334286232918,-0.008642988250010607,2564.8568638377974
Plot5,0.8366912572398315,0.002822316394453519,604.9618746348401,0.21041039719420243,-0.008219763988838622,2555.91283825468
Plot6,0.8316957503900081,0.002647047486489897,608.4716202591768,0.2311334969855563,-0.007565285794584865,2552.1112489606917
Plot7,0.8300218206668156,0.002687033003913943,620.0054596489857,0.2358902034004289,-0.008524479706446987,2541.0009637446756
Plot8,0.8384601820339218,0.002742884051755736,598.8938550571971,0.21097273783261636,-0.007647754955369002,2565.2590164965814
