,c,b1,m1,a,b2,m2
Plot88,0.8762957675872856,0.002656118037475107,548.8218028976173,0.1664386484944617,-0.007377136950737187,2597.9138613796863
Plot89,0.8482448881396703,0.0029916272882181986,525.9228071702374,0.17715646691085574,-0.010814325296741166,2542.299147815484
Plot90,0.8138372185584113,0.002198557465496996,552.3927836877394,0.28425536145497143,-0.008071168303562061,2513.2197385000613
Plot91,0.8120052363676833,0.003269397325201433,506.7846742809729,0.24147640394666534,-0.008257102606809166,2631.1313680049107
Plot92,0.7377043093382297,0.004084889526797376,495.35345846817694,0.3307834546476461,-0.008862336861453931,2487.5028329700426
Plot93,0.8310941197100647,0.003447966451237004,507.9812059332315,0.1743822437180869,-0.008280330909164984,2511.767544069667
Plot94,0.8230114356271708,0.002273281488699932,628.5782036257422,0.1996772426990062,-0.009638761048351983,2492.9918289080138
Plot95,0.86026441029554,0.003203124045342697,677.9785030491778,0.1996162650278571,-0.012690599628823742,2551.0066914324025
Plot96,0.8377702881407401,0.002779812308339614,586.3825151480189,0.1902573684415378,-0.007774529157767033,2530.001269892491
Plot97,0.795196595542205,0.002439968623562756,692.8499177760759,0.3295056243938266,-0.011668153250923822,2583.0283378652516
Plot98,0.8118292008024054,0.0033198467528427803,541.6339281048008,0.21433768573592704,-0.009800051161454442,2537.2609885793936
Plot99,0.8167085282987637,0.0030626405222910187,515.65409135148,0.2645347526842096,-0.009454066642273738,2636.8411484946787
Plot100,0.8808972364965908,0.003137985537386753,503.05707274535536,0.10201778504278967,-0.008816058464987534,2528.384348432851
Plot101,0.8176123831954205,0.0019004698489231615,747.1394360517161,0.31820144594839117,-0.011247518279195321,2554.5938294660264
Plot102,0.8652500700052032,0.003502795394230993,517.1571562439667,0.1365213609926232,-0.00542968314821752,2524.4573572150025
Plot103,0.8375727326360494,0.003015159742252659,514.9621153512978,0.19890720262547082,-0.00957435656547156,2539.6014576903785
Plot104,0.8177824834131844,0.00226739036265746,604.8029593009469,0.26561575386925895,-0.00850498504053297,2602.704713017533
Plot105,0.8246695582430792,0.0023307126378240436,600.4649059250991,0.29810274715471596,-0.009784890930948349,2592.1006301136777
Plot106,0.8253972965520017,0.002504372426314439,581.9012504133198,0.28587400781345795,-0.0067035491727406825,2574.392505469556
Plot107,0.8663487786812349,0.004947249674303545,398.60052201860805,0.1181726401371953,-0.009328587159130429,2543.988425655055
Plot108,0.8284577360843002,0.0022013374240832544,665.2631697089915,0.21779616311998962,-0.011888009673548978,2502.4212110038534
Plot109,0.89617965224817,0.0027593673468279054,545.0763583607013,0.1398401158654321,-0.0071982018430666594,2604.2673801586866
Plot110,0.8283028296627275,0.003284949093849561,523.5695231779083,0.1608451574435104,-0.010878057604501824,2498.5769190257583
Plot111,0.8292106165685403,0.0025192609558509394,517.5835951029701,0.22022460582691936,-0.012129865230258262,2494.18889968898
Plot112,0.8621714746757915,0.0026974718251740947,517.8145950228436,0.19156336009174885,-0.01189041682541393,2518.0520410572963
Plot113,0.871712822379636,0.002193664004902413,531.2872607731841,0.17139760239723761,-0.008258983930159393,2602.8865516823544
Plot114,0.8675456823571346,0.0030329893060596267,486.8906712439912,0.1680012678024662,-0.010999655839307393,2564.710836766827
Plot115,0.7626955072932927,0.0036938360686146433,459.659911996526,0.23558072380507142,-0.01252423487800196,2475.5637160402043
Plot116,0.7767064441239759,0.0021553987171719926,606.5541246376683,0.30513738073957647,-0.0073689625446617035,2462.217033059658
Plot117,,,,,,
Plot118,0.7360821065447414,0.0019134934256205256,761.0362172528318,0.44779784349717083,-0.01441637985023669,2500.6848662127454
Plot119,0.7883407436066867,0.0027907763550598388,698.7120759084178,0.33261610123257307,-0.007836720233244944,2488.950561378977
Plot120,0.8768366218890514,0.002786810107863548,580.3449550982882,0.16691311023115676,-0.007186501726800555,2626.3536889967068
Plot121,0.8687437587837498,0.0038618028051364286,496.4389624780428,0.16403114546876585,-0.009105034411836584,2609.953950857615
Plot122,0.86502726451974,0.0022510020559564975,634.5755971207677,0.17049089078021343,-0.010881389915800102,2543.0888648459695
Plot123,0.8617969735044522,0.002418340471611739,688.0545978480811,0.21458598936719941,-0.007479660255544891,2578.8807298846273
Plot124,0.862994624317541,0.003012845715579227,616.2208972725582,0.1636236575560117,-0.010922432861484541,2554.038554623094
Plot125,,,,,,
Plot126,0.804022603187215,0.002412800962411496,790.7071619116698,0.33068757458663595,-0.007257591487361668,2434.0216600584677
Plot127,1.0226781017174575,0.0021902521299129053,816.4127023902762,0.07586256948499594,-0.00279874461338851,2341.3323291828697
Plot128,0.8554627200153784,0.004039249575712313,487.28541159364147,0.16461538958414715,-0.009083327730691015,2466.1199498977426
Plot129,0.8325090432410618,0.0032362050513234327,546.9588207733514,0.20907606701133394,-0.008038379847370746,2597.341649099847
Plot130,0.857203142842855,0.00333161123057888,674.6793891784802,0.1753788500867374,-0.012048277432772665,2538.580257404124
Plot131,0.851011253918584,0.002734999583243162,523.5653834099174,0.16149429249487152,-0.010501425338823167,2504.446141250004
Plot132,0.8406954208154925,0.0020600228808461047,873.169905993207,0.2587575700377356,-0.008205245846497955,2442.093855562059
Plot133,0.8517909939469801,0.0029387996031956863,791.207498462767,0.19366281931303578,-0.008999548431036267,2518.6771829896593
